Name,Age,Department,Salary,Years_Experience,Promotion_Eligibility
Patrick Moore,24.0,Finance,62500.0,2.0,No
Jennifer Cruz,28.0,Operations,48500.0,4.0,Yes
Rhonda Cervantes,38.0,HR,51600.0,6.0,
Austin Ross,40.0,Finance,79000.0,10.0,Yes
James Rivera,22.0,IT,68700.0,1.0,No
Justin Torres,31.0,IT,82400.0,4.0,
William Morales,26.0,Finance,72000.0,4.0,No
Jessica Garrett,34.0,Engineering,86300.0,10.0,Yes
Nicolas Brown,31.0,IT,91000.0,4.0,No
Joshua Arellano,39.0,Operations,63900.0,7.0,Yes
Sarah Sosa,42.0,Engineering,98700.0,15.0,Yes
Laura Adams,21.0,Engineering,64600.0,0.0,No
Michael Soto,24.0,IT,77100.0,2.0,No
Matthew Perez,47.0,IT,96900.0,16.0,Yes
Ryan Crane,53.0,Sales,65400.0,11.0,Yes
Colleen Blanchard,33.0,Finance,69100.0,7.0,No
Thomas Brewer,35.0,Sales,72700.0,12.0,Yes
Evelyn Williams,47.0,Finance,86300.0,14.0,Yes
Patrick Payne,46.0,Engineering,107500.0,18.0,Yes
Thomas Wells,40.0,Operations,,9.0,Yes
Thomas Floyd,30.0,,50600.0,4.0,No
Christopher Jones,21.0,Operations,46000.0,0.0,No
Melissa Parker,21.0,Operations,53400.0,0.0,No
Brian Sosa,36.0,Finance,72400.0,7.0,Yes
Michael Dunn,44.0,Customer Support,59700.0,11.0,Yes
John Russell,21.0,Operations,52400.0,0.0,No
Kristin Huerta,35.0,IT,78900.0,10.0,Yes
Maria Olson,37.0,Customer Support,44200.0,9.0,Yes
Steven Martinez,41.0,Marketing,68600.0,11.0,Yes
Dr. April Jones,48.0,Finance,81300.0,17.0,Yes
Mark Mcpherson,35.0,Engineering,82600.0,9.0,Yes
Charles Bush,27.0,Sales,53200.0,5.0,No
Bradley Hoffman,38.0,Customer Support,53800.0,10.0,Yes
Amy Roberts,43.0,Marketing,62100.0,11.0,Yes
Henry Rivera,43.0,Engineering,,12.0,Yes
Monica Frost,36.0,HR,60300.0,12.0,Yes
Robert Tapia,49.0,IT,100000.0,18.0,Yes
Susan Mitchell DVM,40.0,Customer Support,61600.0,10.0,Yes
Kevin Soto,33.0,Customer Support,45300.0,7.0,Yes
Eddie Davis,35.0,Finance,59900.0,5.0,No
Sarah Berry,30.0,Finance,72700.0,7.0,Yes
Ashley Dunn,22.0,Customer Support,44700.0,1.0,No
Amber Parker,42.0,IT,93600.0,10.0,Yes
Jason Douglas,40.0,Engineering,85900.0,7.0,Yes
Gavin Bauer,30.0,Customer Support,51200.0,7.0,Yes
Danielle Carter,21.0,Finance,52800.0,0.0,No
Selena Bailey,36.0,Customer Support,50200.0,,Yes
Gabriel Richardson,30.0,Sales,65400.0,6.0,Yes
Sharon Cowan,34.0,Sales,69300.0,9.0,Yes
Marcus Patrick,35.0,Sales,63500.0,8.0,Yes
Brian Cervantes,34.0,Engineering,85900.0,6.0,Yes
Ronald Murray,28.0,Finance,61500.0,4.0,No
Kendra Wang DVM,21.0,Engineering,80700.0,0.0,Yes
Jennifer Hernandez,35.0,Marketing,72600.0,10.0,Yes
Laura Green,44.0,Engineering,109300.0,19.0,Yes
Christopher Carson,34.0,Engineering,97600.0,11.0,Yes
Debra Baxter,34.0,HR,69600.0,9.0,Yes
Ronald Baxter,40.0,HR,57900.0,8.0,No
Jennifer Ferguson,32.0,IT,74700.0,4.0,No
Stephanie Fields,30.0,Marketing,56900.0,4.0,No
Anthony Marshall,27.0,Operations,46400.0,5.0,No
Christina Bates,26.0,Engineering,67100.0,2.0,Yes
George Harper,54.0,IT,103500.0,24.0,Yes
Victoria Parker,32.0,Sales,50300.0,4.0,No
Chad Taylor,23.0,Sales,61000.0,1.0,No
Victoria Knight,23.0,IT,63200.0,1.0,No
David Aguirre,25.0,Sales,66100.0,2.0,No
Kevin Fisher,46.0,Sales,67700.0,8.0,Yes
John Ryan,37.0,Finance,,12.0,Yes
Chelsea Powell,25.0,Operations,58600.0,2.0,Yes
Grace Green,25.0,Sales,51400.0,2.0,No
Jennifer Barrett,45.0,Finance,82900.0,9.0,Yes
Ronald Santos,24.0,IT,63100.0,2.0,No
Jordan Lynch,42.0,IT,83100.0,7.0,Yes
Vanessa Green,59.0,IT,117400.0,29.0,Yes
Brad Rivas,27.0,Operations,55100.0,3.0,No
Lucas Nguyen,35.0,IT,74100.0,6.0,Yes
Katherine Holder,,Operations,55000.0,5.0,Yes
Rachel Jones,32.0,Engineering,74300.0,4.0,No
Nicholas Gomez,41.0,Sales,71600.0,8.0,Yes
Michael Perry,38.0,Engineering,87900.0,13.0,Yes
Daniel White,28.0,Sales,51100.0,2.0,
Larry Lloyd,34.0,Engineering,,9.0,Yes
Daniel Nguyen,42.0,Customer Support,49800.0,7.0,No
Mike Martinez,30.0,Operations,66500.0,5.0,No
Jared Stark,21.0,Engineering,79500.0,0.0,No
Katherine Greene,29.0,Operations,48700.0,3.0,No
Kimberly Nguyen,48.0,HR,63100.0,10.0,Yes
Erik Harris,51.0,IT,97300.0,19.0,Yes
Michael Barnes,33.0,Sales,71200.0,10.0,Yes
Morgan Grimes,40.0,Finance,93000.0,15.0,Yes
Carol Bowman,25.0,,65300.0,3.0,Yes
Jennifer Hatfield,23.0,Operations,54000.0,1.0,No
Catherine Holland,27.0,Engineering,75700.0,2.0,No
Linda Cobb,36.0,HR,69400.0,11.0,Yes
Natalie Bautista,26.0,IT,74200.0,3.0,No
Valerie Ford,21.0,Finance,61100.0,0.0,No
Pamela Burke,26.0,HR,50800.0,2.0,No
Kyle Burke,45.0,IT,82900.0,13.0,Yes
Kimberly Lewis,27.0,Customer Support,39100.0,4.0,No
Elijah Wall,,Operations,,17.0,Yes
Sarah Frost,31.0,Sales,54300.0,3.0,No
Douglas Rodriguez,31.0,IT,73300.0,4.0,Yes
Ashley Williams,31.0,Operations,62700.0,5.0,Yes
Michele Conner,39.0,Sales,64900.0,9.0,Yes
Brenda Smith,21.0,IT,66500.0,0.0,No
Charles Blevins,34.0,HR,56100.0,4.0,No
Lisa Campbell,51.0,Engineering,110900.0,17.0,Yes
Margaret Torres,51.0,Engineering,120500.0,24.0,Yes
Jimmy Smith,46.0,Engineering,98800.0,14.0,
Christine Bell,35.0,Operations,63500.0,7.0,No
Rebecca Lane,33.0,Sales,53400.0,6.0,Yes
Lisa Hall,29.0,HR,57900.0,4.0,No
Michael Scott,21.0,Engineering,65100.0,0.0,No
Rebecca Clark,41.0,Engineering,106900.0,16.0,Yes
Michael Johnson,32.0,IT,68300.0,6.0,Yes
Christine Powers,29.0,Sales,58300.0,5.0,No
Gary Miller,43.0,Engineering,105400.0,16.0,Yes
Traci Craig,21.0,IT,62700.0,0.0,No
Margaret Harper,40.0,Engineering,87500.0,8.0,Yes
Amanda Thomas,33.0,Finance,85000.0,8.0,No
Susan Sanchez,33.0,IT,90200.0,10.0,Yes
Stephanie Lopez,48.0,Finance,89200.0,18.0,Yes
Elizabeth Kelley,21.0,Sales,45200.0,0.0,No
John Barber,39.0,Marketing,62100.0,,No
Crystal Clayton,37.0,Sales,53600.0,6.0,Yes
Kristin Hickman,46.0,Customer Support,82400.0,21.0,Yes
Robert Thomas PhD,25.0,Engineering,73200.0,2.0,No
Jonathan Peterson,39.0,Sales,68400.0,11.0,Yes
Daniel Brown,26.0,IT,66600.0,4.0,Yes
Cynthia Hendricks,30.0,Engineering,,3.0,No
Ian Torres,37.0,Engineering,95300.0,12.0,Yes
Margaret Lowe,27.0,Customer Support,46000.0,3.0,No
Kelsey Lynch,33.0,Customer Support,58400.0,8.0,Yes
Brittany Matthews,42.0,Finance,87800.0,9.0,Yes
Keith Long,37.0,IT,76300.0,11.0,Yes
Jamie Guerrero,42.0,Marketing,90000.0,16.0,Yes
Brian Kidd,32.0,Finance,78500.0,8.0,Yes
Evan Davies,21.0,IT,69000.0,0.0,No
Desiree Thomas,21.0,Engineering,63600.0,0.0,No
Nathan Willis,27.0,Engineering,71300.0,,No
Michael Roberts,37.0,IT,78600.0,11.0,Yes
Eric Flores,,Sales,64600.0,9.0,Yes
Jason Jenkins,47.0,Operations,75300.0,16.0,
Jerry Johnston,36.0,Customer Support,44400.0,9.0,Yes
Philip Cannon,29.0,Sales,58800.0,3.0,No
Olivia Randolph,38.0,Engineering,100400.0,12.0,Yes
Felicia Gordon,29.0,Sales,65600.0,4.0,Yes
Catherine Maxwell,47.0,HR,68400.0,11.0,Yes
Mr. Mark Landry,23.0,Customer Support,34400.0,1.0,No
Kara Roberts,24.0,Sales,44200.0,2.0,Yes
Brandon White,30.0,Engineering,79700.0,5.0,Yes
Morgan Valencia,27.0,Engineering,80500.0,5.0,Yes
Joann Sanders,21.0,Marketing,42400.0,0.0,No
Todd Hernandez Jr.,48.0,IT,102000.0,22.0,Yes
Alexander Mitchell,21.0,Marketing,52400.0,0.0,No
Sandra Ingram,48.0,Engineering,99500.0,19.0,Yes
Theresa Sandoval,31.0,IT,65100.0,3.0,No
Rebecca Ellis,33.0,Engineering,,4.0,Yes
Christopher Robbins,50.0,Engineering,109300.0,13.0,Yes
Christina Robinson,44.0,Customer Support,70700.0,17.0,Yes
George Gregory,45.0,Finance,98400.0,18.0,Yes
Evelyn Galvan,37.0,Customer Support,46000.0,6.0,Yes
Leon Duncan,44.0,Engineering,98400.0,14.0,Yes
Levi Lopez,57.0,HR,90700.0,22.0,Yes
Richard Moore,33.0,Marketing,,7.0,Yes
Jeffrey Mcclure,21.0,Operations,44000.0,0.0,No
Susan James,26.0,Engineering,77400.0,3.0,Yes
Denise Wallace,22.0,Sales,46900.0,1.0,No
Anthony Simmons,38.0,Customer Support,53500.0,8.0,Yes
Cory Willis,31.0,Sales,55400.0,6.0,No
Sylvia Clark,34.0,Operations,62600.0,6.0,No
Virginia Casey,43.0,Finance,85700.0,16.0,Yes
Corey Cortez,33.0,Engineering,90100.0,4.0,
Melissa Rogers,29.0,Sales,49100.0,,No
Robert Harrison,21.0,Sales,46700.0,0.0,No
Amanda Meadows,,Sales,53200.0,1.0,No
Miranda Huber,44.0,HR,73900.0,18.0,Yes
Brandi Gould,35.0,Marketing,68500.0,7.0,Yes
Derrick Diaz,37.0,Operations,68200.0,7.0,No
Mr. Thomas Jones PhD,36.0,Sales,67700.0,7.0,No
Renee Bruce,36.0,Operations,62400.0,5.0,Yes
Kelly Mclaughlin,43.0,Sales,66000.0,9.0,Yes
John Zavala,37.0,IT,88100.0,8.0,Yes
Tracy Wang,46.0,Sales,77400.0,12.0,Yes
Margaret Young,35.0,Sales,65700.0,5.0,No
Teresa Jacobson,27.0,Finance,58600.0,3.0,Yes
Dana Atkins,21.0,Engineering,69500.0,0.0,No
Kevin Carson,39.0,Sales,69300.0,8.0,No
Kurt Ewing,24.0,IT,69400.0,1.0,No
Margaret Knight,27.0,Marketing,56100.0,4.0,No
William Arnold,36.0,Engineering,90300.0,10.0,Yes
Juan Brewer,37.0,Finance,73900.0,8.0,No
Donna Stanton,23.0,IT,53700.0,1.0,No
Derrick Ford,38.0,Engineering,97700.0,14.0,Yes
Karen Alvarez,39.0,Sales,72400.0,9.0,Yes
Michael Rush,38.0,HR,64900.0,13.0,Yes
Keith Wright,37.0,IT,84800.0,10.0,Yes
Lisa Hall,48.0,Sales,86200.0,21.0,Yes
Evelyn Dunn,31.0,Sales,69600.0,8.0,Yes
Michael Lyons,54.0,Customer Support,67000.0,14.0,Yes
Pamela Hicks,34.0,Marketing,71100.0,8.0,Yes
Ashley Miller,29.0,IT,75400.0,5.0,Yes
Derek Coleman,54.0,Finance,111300.0,28.0,Yes
Alyssa Powers,43.0,Finance,72700.0,,Yes
Wayne Morgan,37.0,Operations,59100.0,7.0,Yes
Carrie Myers,26.0,Marketing,55600.0,4.0,Yes
Mary Santos,22.0,Engineering,71100.0,1.0,No
Dawn Little,40.0,Engineering,92400.0,9.0,Yes
Laura Velez,34.0,Marketing,66000.0,9.0,Yes
Joseph White,21.0,Customer Support,28900.0,0.0,No
David Brooks,41.0,IT,99400.0,16.0,Yes
Kelly Calderon,48.0,IT,109800.0,23.0,Yes
Laura Patton,49.0,IT,98100.0,14.0,Yes
Jeremy Scott,27.0,Sales,62300.0,2.0,No
Heather Parrish,21.0,Sales,55200.0,0.0,No
Joel Perez,25.0,Operations,,2.0,No
Nancy Flowers,31.0,Sales,61600.0,6.0,Yes
Linda Berry,22.0,IT,,0.0,No
Jason Hudson,26.0,Marketing,64400.0,3.0,Yes
Amber Meza,37.0,Finance,73900.0,5.0,No
Derrick Anderson,28.0,Finance,366300.0,4.0,Yes
Anna Poole,27.0,Engineering,74800.0,2.0,No
Jennifer Allen,28.0,IT,73400.0,5.0,Yes
Matthew Houston,,Operations,71900.0,10.0,
Carl Scott,35.0,Engineering,77100.0,5.0,Yes
Bailey Duran DDS,36.0,Operations,65800.0,6.0,No
Brian Mccarthy,30.0,Engineering,82900.0,5.0,Yes
Brandon Pena,40.0,Engineering,109600.0,14.0,Yes
Pamela Gutierrez,45.0,IT,90300.0,14.0,Yes
Joshua Johnson,38.0,Engineering,81300.0,6.0,Yes
Jesse Sampson,,Customer Support,53500.0,11.0,Yes
Robert Perkins,26.0,Customer Support,41700.0,2.0,No
Mr. Aaron Arnold,32.0,Customer Support,59300.0,9.0,Yes
Elizabeth Mendez,39.0,Sales,76300.0,10.0,Yes
Destiny Joseph,28.0,Engineering,88500.0,2.0,No
Michaela Sanchez,42.0,Operations,83700.0,15.0,Yes
Maria Myers,27.0,Marketing,51800.0,5.0,No
Theresa Davis,48.0,Engineering,89500.0,9.0,Yes
Robert Hicks,30.0,HR,48700.0,3.0,
Lawrence Parks,25.0,Finance,63200.0,2.0,No
Richard Smith,47.0,IT,95200.0,18.0,Yes
Michael Ayala,34.0,Customer Support,41600.0,4.0,No
Randy Phillips,46.0,Sales,90700.0,,Yes
Daniel Wilson,23.0,HR,43300.0,1.0,No
Austin Mitchell,45.0,Sales,80700.0,19.0,Yes
Eric Fitzpatrick,29.0,IT,71100.0,5.0,Yes
James Silva,40.0,Customer Support,65100.0,13.0,
Stephen Mckee,33.0,IT,78000.0,6.0,Yes
James Cummings,33.0,Sales,72900.0,9.0,Yes
Robert Arnold,27.0,Marketing,59900.0,4.0,No
Tom Foster,41.0,Finance,75900.0,10.0,Yes
Chad Perez,40.0,Marketing,75300.0,13.0,Yes
Nancy Brown,33.0,Engineering,91100.0,9.0,Yes
Tamara Moore,27.0,Sales,56600.0,3.0,No
Kyle Keller,49.0,IT,88600.0,16.0,Yes
Vanessa Rivera,53.0,Finance,,20.0,Yes
Kimberly Brewer,31.0,Sales,63500.0,7.0,Yes
Eric Spencer,25.0,Sales,55400.0,2.0,No
Diana Johnson,45.0,HR,80400.0,18.0,Yes
Andrea Oconnor,32.0,Marketing,62800.0,9.0,Yes
Jennifer Barrett,35.0,Engineering,94100.0,,Yes
Rebekah Greene,32.0,Engineering,73800.0,6.0,Yes
Sean Peters,29.0,Finance,65400.0,,No
Stephanie Joseph,39.0,Sales,59400.0,8.0,Yes
Shawn Scott,45.0,IT,111900.0,20.0,Yes
Amanda Nash,52.0,Sales,83700.0,15.0,Yes
Jennifer Mckenzie,40.0,IT,78000.0,9.0,Yes
Richard Wilson,33.0,IT,99700.0,7.0,Yes
Richard Miller,23.0,Engineering,81300.0,1.0,No
Audrey Koch,35.0,IT,74500.0,5.0,Yes
Andrew Chavez,35.0,Marketing,60300.0,7.0,Yes
David Stokes,23.0,HR,41700.0,1.0,No
Amber Obrien,41.0,Finance,78800.0,15.0,Yes
Brittany Johnson,34.0,Engineering,81000.0,5.0,No
Eileen Sanchez,36.0,Marketing,64800.0,8.0,Yes
Karen Hicks,25.0,Engineering,82300.0,3.0,No
Mark Boyle,29.0,Customer Support,41900.0,5.0,No
Monica Cline,42.0,IT,522500.0,15.0,Yes
Shawn Harris,52.0,Engineering,107800.0,20.0,Yes
Brian Bishop,35.0,Engineering,93300.0,11.0,Yes
Megan Adams,47.0,,78900.0,17.0,Yes
Kenneth Carroll,43.0,Sales,71200.0,12.0,Yes
Bryan Castro,48.0,Sales,90400.0,19.0,Yes
Karen Jackson DVM,47.0,Engineering,102200.0,18.0,Yes
Gerald Allen,36.0,IT,78600.0,9.0,Yes
Danielle Norris,33.0,Engineering,85400.0,6.0,Yes
Jessica Smith,34.0,Operations,68100.0,7.0,Yes
Melanie Smith,21.0,Engineering,72900.0,0.0,No
Alexis Kim,21.0,Sales,57300.0,0.0,No
Johnathan Aguirre,46.0,Operations,61000.0,16.0,Yes
Carlos Miller,29.0,Operations,55900.0,4.0,Yes
Victor Taylor,45.0,Customer Support,66200.0,15.0,Yes
Victoria Deleon,41.0,Engineering,85800.0,7.0,Yes
Daniel Lee,29.0,Marketing,65100.0,6.0,Yes
Steven Blevins,30.0,IT,70800.0,5.0,Yes
Brittany Ortiz,25.0,Sales,55600.0,3.0,No
Thomas Mcgrath,28.0,Customer Support,50400.0,6.0,Yes
Wyatt Kerr,34.0,Engineering,85400.0,10.0,Yes
Todd Rosales MD,52.0,Marketing,100200.0,25.0,Yes
Angela Watson,46.0,Sales,92800.0,20.0,Yes
Melissa Combs,48.0,Operations,,15.0,Yes
Jacob Hill,27.0,IT,76700.0,5.0,No
Samantha Howard,,,79900.0,17.0,Yes
Michael Hicks,33.0,IT,77100.0,10.0,Yes
April Wallace,54.0,Engineering,117000.0,23.0,Yes
Mckenzie Chavez,41.0,Operations,67800.0,14.0,Yes
Michael Horton DDS,24.0,IT,53100.0,2.0,Yes
John Richards,41.0,IT,75600.0,8.0,Yes
Mary Hill,33.0,Finance,70900.0,6.0,No
Hailey Ball,39.0,IT,90000.0,11.0,Yes
Tiffany Williams,36.0,Operations,70500.0,12.0,Yes
Keith Gonzalez,30.0,Finance,63200.0,4.0,No
Joshua Harris,30.0,Customer Support,46100.0,3.0,Yes
Aaron Mayer,21.0,Sales,53000.0,0.0,No
Allison Chavez,46.0,IT,98500.0,21.0,Yes
Shelby Simon,34.0,Finance,70900.0,6.0,Yes
Chad Flores,38.0,Engineering,88200.0,,Yes
Stephanie Garcia,34.0,Sales,60600.0,8.0,Yes
Matthew Giles,34.0,IT,81900.0,8.0,Yes
Mary Ortiz,,IT,77700.0,11.0,Yes
Gregory Johnson,41.0,HR,68500.0,11.0,Yes
Jill Ray,44.0,Finance,83800.0,18.0,Yes
Jeanette Obrien,39.0,Finance,86200.0,,Yes
Robert Newton,34.0,,52200.0,8.0,Yes
Betty Vazquez,27.0,Operations,49000.0,2.0,No
Mrs. Janice Fitzpatrick,48.0,HR,69000.0,19.0,Yes
Joshua Garcia,26.0,Finance,66700.0,2.0,No
Alan Davis DVM,43.0,HR,,13.0,Yes
Daniel Luna,30.0,Marketing,65000.0,8.0,Yes
Scott Brown,,Engineering,93600.0,8.0,Yes
Victoria King,44.0,Sales,75300.0,12.0,Yes
Andre Cortez,44.0,Sales,71700.0,15.0,Yes
John Moore,40.0,Sales,76300.0,16.0,Yes
Jeffrey Miller,37.0,IT,83800.0,13.0,Yes
Tiffany Townsend,51.0,Finance,68300.0,10.0,Yes
Adam Lara,44.0,IT,88200.0,14.0,Yes
Lydia Horn,35.0,Marketing,72700.0,11.0,Yes
Tamara Mcdonald,43.0,Engineering,86600.0,13.0,Yes
Penny Waters,35.0,Operations,,9.0,Yes
Stephanie Li,35.0,Finance,69400.0,6.0,No
Dr. Sarah Payne,41.0,Finance,73100.0,9.0,Yes
Amanda Campbell,45.0,HR,54400.0,7.0,Yes
Bridget White,45.0,Engineering,78900.0,7.0,Yes
Alvin Wilson,42.0,Marketing,76200.0,14.0,Yes
Scott Stewart,43.0,Operations,62600.0,12.0,Yes
Nicole Herman MD,45.0,IT,80600.0,8.0,Yes
David Chapman,50.0,Finance,91100.0,17.0,Yes
Wanda Ramos,30.0,Marketing,66400.0,5.0,No
John Alvarado,30.0,Operations,63500.0,5.0,Yes
Jamie Smith,41.0,Engineering,97700.0,14.0,Yes
Ashley Jones,42.0,Operations,61600.0,10.0,Yes
David Oconnell,27.0,Engineering,83800.0,4.0,No
Kenneth Webb,37.0,IT,77200.0,8.0,Yes
Darin Byrd,26.0,HR,47400.0,4.0,No
Laurie Silva,33.0,IT,,7.0,Yes
Derek Williams,32.0,Sales,49500.0,5.0,Yes
Anne Obrien,33.0,IT,58400.0,4.0,No
Dorothy Boyd,22.0,Marketing,45200.0,1.0,No
Lori Holland,,Sales,52100.0,3.0,No
Stephanie Peterson,37.0,Marketing,74900.0,8.0,Yes
Joshua Rice,,Engineering,81000.0,4.0,Yes
Cindy Kelley,36.0,Sales,62200.0,8.0,Yes
Andrea Moody,34.0,IT,83300.0,9.0,Yes
Barbara Hester,37.0,IT,74000.0,9.0,Yes
Catherine Castaneda,30.0,Sales,62800.0,6.0,No
Natalie Oconnor,36.0,Sales,79500.0,10.0,Yes
Dr. Teresa Ortega MD,37.0,IT,73700.0,,Yes
Stephanie Knight,22.0,Engineering,67300.0,1.0,No
Rachel Bradley,21.0,Sales,55300.0,0.0,No
Samantha Cohen,33.0,Operations,63300.0,6.0,Yes
Mr. Jeremy Cohen Jr.,55.0,Operations,84000.0,20.0,Yes
Sabrina Henderson DVM,21.0,Engineering,64800.0,0.0,No
Cynthia Miller,35.0,Engineering,84500.0,12.0,Yes
Brian Pena,43.0,IT,,11.0,Yes
Lauren Kim,29.0,Operations,70700.0,6.0,Yes
Jeffrey Chandler,42.0,IT,81100.0,10.0,Yes
Richard Johnson,43.0,Operations,63000.0,8.0,Yes
Beth Medina,32.0,Sales,59500.0,5.0,Yes
Kimberly Sullivan,35.0,Sales,67500.0,11.0,Yes
Cindy Shaw,41.0,Engineering,80000.0,10.0,Yes
Chelsea Ramirez,21.0,IT,66200.0,0.0,No
Michael Gordon,29.0,Engineering,99200.0,,Yes
Jeremy Hunter,31.0,IT,74300.0,5.0,Yes
Felicia Matthews,43.0,Customer Support,74100.0,15.0,Yes
Jacob Allen,29.0,Customer Support,58300.0,7.0,Yes
Jonathon Hill,30.0,Sales,57300.0,5.0,No
Angel Aguirre,,Engineering,76700.0,3.0,No
Joseph Day,,Engineering,78200.0,6.0,Yes
David Cooper,54.0,HR,76500.0,23.0,Yes
Laura Medina,27.0,Customer Support,41900.0,2.0,No
Catherine Davis,36.0,Customer Support,42900.0,7.0,Yes
Joseph Lane,50.0,IT,104500.0,24.0,Yes
Gina Clark,49.0,IT,102200.0,21.0,Yes
Jennifer Adkins,42.0,Engineering,89800.0,8.0,Yes
Stacy Rodriguez,31.0,Engineering,95400.0,7.0,Yes
Morgan Evans,43.0,Operations,77500.0,17.0,Yes
Angelica Mays,21.0,Engineering,74600.0,0.0,No
