Name,Age,Department,Salary,Years_Experience,Gender,Promotion_Eligibility
Kavya,43.0,IT,84189.0,5.0,Male,Yes
Olivia,51.0,IT,91965.0,9.0,Female,Yes
Grace,32.0,Marketing,61668.0,2.0,Female,No
Sara,23.0,IT,72625.0,1.0,Male,No
James,45.0,Finance,81334.0,8.0,Female,Yes
Priya,29.0,Sales,60213.0,3.0,Female,No
Emma,46.0,Marketing,71643.0,8.0,Female,Yes
Marco,27.0,Marketing,51553.0,1.0,Male,No
Kavya,51.0,Marketing,69039.0,5.0,Male,Yes
Mia,54.0,HR,79121.0,9.0,Female,Yes
Ahmed,48.0,IT,89788.0,8.0,Female,Yes
Ahmed,33.0,HR,56219.0,2.0,Male,No
Aiko,30.0,IT,78022.0,4.0,Female,Yes
James,42.0,IT,74777.0,5.0,Male,No
Benjamin,45.0,Finance,58526.0,2.0,Female,No
Riya,42.0,Finance,70716.0,6.0,Male,Yes
Leo,40.0,IT,81261.0,7.0,Female,Yes
Fatima,25.0,IT,74732.0,2.0,Female,No
Kavya,44.0,Marketing,72650.0,7.0,Male,Yes
Kavya,49.0,IT,89772.0,7.0,Male,Yes
Mia,28.0,Sales,52521.0,1.0,Female,No
Sophia,22.0,Sales,45182.0,0.0,Male,No
Tom,33.0,Sales,61465.0,4.0,Male,Yes
Anna,44.0,Sales,63020.0,2.0,Male,No
Ethan,43.0,Sales,54281.0,4.0,Male,Yes
Omar,46.0,Finance,64173.0,4.0,Male,Yes
Ken,28.0,Finance,66086.0,3.0,Male,Yes
Ivan,57.0,Sales,78272.0,11.0,Female,Yes
Ahmed,38.0,Finance,65319.0,3.0,Male,No
Ahmed,46.0,IT,83902.0,6.0,Male,Yes
Isabella,37.0,Marketing,72673.0,7.0,Female,Yes
James,28.0,IT,78579.0,6.0,Female,Yes
David,55.0,Marketing,90049.0,14.0,Female,Yes
Yuki,50.0,Sales,74622.0,10.0,Female,Yes
Zoe,46.0,IT,72005.0,3.0,Female,Yes
Olivia,45.0,Finance,78529.0,8.0,Male,Yes
Aiko,24.0,Sales,51586.0,1.0,Female,No
Aiko,56.0,Sales,72149.0,8.0,Female,Yes
Priya,30.0,HR,50226.0,1.0,Male,No
Leo,55.0,IT,87334.0,7.0,Female,Yes
Priya,24.0,IT,70535.0,1.0,Male,No
Chloe,49.0,Marketing,,10.0,Male,Yes
Marco,51.0,Marketing,46956.0,1.0,Female,No
Sneha,34.0,Finance,72066.0,5.0,Female,Yes
Diego,53.0,Sales,77653.0,10.0,Male,Yes
Yuki,33.0,HR,44475.0,0.0,Male,No
Lucas,44.0,IT,88375.0,7.0,Female,Yes
Lucas,48.0,Marketing,79568.0,9.0,Male,Yes
Sam,46.0,Sales,63365.0,5.0,Female,Yes
Elena,28.0,Finance,59996.0,0.0,Male,No
Rohan,35.0,Finance,66378.0,3.0,Male,No
Marco,23.0,Sales,46892.0,0.0,Female,No
Rohan,39.0,Finance,67132.0,5.0,Male,Yes
Isabella,53.0,HR,68715.0,8.0,Male,Yes
Sophia,47.0,Sales,68047.0,4.0,Female,Yes
Ava,49.0,Sales,74194.0,9.0,Male,Yes
Ivan,40.0,Marketing,59267.0,5.0,Female,Yes
Rachel,24.0,HR,43350.0,0.0,Male,No
Kavya,28.0,Finance,59696.0,3.0,Female,No
Nadia,45.0,Finance,73067.0,4.0,Male,Yes
Lucia,33.0,IT,84439.0,4.0,Female,Yes
Grace,23.0,IT,70374.0,1.0,Male,No
Grace,46.0,Sales,70867.0,5.0,Female,Yes
David,44.0,Finance,53019.0,2.0,Female,No
Diego,22.0,IT,59813.0,0.0,Male,No
Omar,33.0,Finance,70713.0,5.0,Male,Yes
Omar,41.0,HR,55363.0,3.0,Female,No
Lucia,41.0,Marketing,50757.0,1.0,Male,No
Carlos,52.0,IT,81255.0,5.0,Female,Yes
Nina,42.0,HR,74604.0,9.0,Female,Yes
Michael,29.0,Sales,60039.0,5.0,Female,Yes
Olivia,30.0,Marketing,50982.0,2.0,Female,No
Fatima,,Sales,56999.0,3.0,Female,Yes
Noah,46.0,IT,85846.0,8.0,Female,Yes
Mia,23.0,Finance,55236.0,0.0,Female,No
Riya,50.0,IT,96835.0,9.0,Male,Yes
Hana,32.0,IT,72961.0,2.0,Male,No
Elena,48.0,Marketing,73917.0,8.0,Male,Yes
Noah,57.0,IT,,5.0,Female,Yes
Ethan,47.0,IT,91106.0,9.0,Female,Yes
Mia,54.0,IT,89634.0,7.0,Male,Yes
Grace,34.0,Finance,58857.0,3.0,Male,No
Diego,32.0,Marketing,52475.0,1.0,Male,No
David,57.0,HR,64912.0,7.0,Male,Yes
Ava,29.0,Sales,56110.0,1.0,Male,No
Sara,23.0,IT,71673.0,1.0,Female,No
Hana,26.0,IT,64540.0,1.0,Male,No
Tom,37.0,HR,61261.0,4.0,Male,Yes
Ken,51.0,Finance,73117.0,7.0,Female,Yes
Diego,42.0,IT,85661.0,6.0,Female,Yes
Omar,33.0,Marketing,55673.0,2.0,Female,No
Grace,30.0,IT,63263.0,0.0,Female,No
Ella,39.0,Finance,67297.0,7.0,Male,Yes
Mason,55.0,HR,52646.0,6.0,Female,Yes
Olivia,53.0,IT,81945.0,6.0,Male,Yes
Riya,28.0,Sales,,0.0,Male,No
Omar,50.0,Finance,79031.0,6.0,Male,Yes
Aria,26.0,HR,46015.0,1.0,Male,No
Liam,22.0,IT,67710.0,1.0,Male,No
Nadia,32.0,Finance,59626.0,2.0,Female,No
Zoe,56.0,IT,99846.0,11.0,Male,Yes
Tom,55.0,IT,94972.0,8.0,Male,Yes
Layla,38.0,Marketing,61194.0,5.0,Male,Yes
Liam,51.0,Sales,66354.0,6.0,Male,Yes
Aiko,31.0,Sales,60583.0,3.0,Female,Yes
Wei,32.0,HR,47245.0,1.0,Female,No
Nadia,46.0,IT,80784.0,4.0,Female,Yes
Diego,39.0,Finance,75499.0,5.0,Male,Yes
Aria,49.0,HR,65435.0,6.0,Male,Yes
Kavya,24.0,IT,68013.0,0.0,Male,No
Daniel,29.0,Finance,58313.0,0.0,Male,No
Emma,56.0,IT,90660.0,9.0,Female,Yes
Marco,41.0,IT,83356.0,5.0,Male,Yes
Nora,42.0,HR,46624.0,1.0,Male,No
Ella,38.0,Finance,72045.0,3.0,Female,Yes
Layla,55.0,Finance,74526.0,6.0,Male,Yes
Hana,51.0,IT,92401.0,9.0,Female,Yes
Peter,35.0,Sales,66871.0,5.0,Female,Yes
David,27.0,Finance,56335.0,1.0,Male,No
Liam,50.0,Finance,,9.0,Female,Yes
Layla,46.0,Marketing,49888.0,2.0,Female,No
Grace,31.0,IT,72495.0,3.0,Female,Yes
Zoe,42.0,Finance,65588.0,3.0,Male,Yes
Laura,28.0,IT,71249.0,3.0,Male,Yes
William,46.0,Marketing,60855.0,4.0,Male,Yes
Benjamin,45.0,HR,56711.0,5.0,Male,No
Liam,23.0,Sales,54530.0,0.0,Female,No
Layla,31.0,Marketing,62981.0,4.0,Male,Yes
Rachel,42.0,Sales,66126.0,6.0,Female,Yes
Kavya,56.0,HR,96930.0,15.0,Male,Yes
Chloe,24.0,IT,78374.0,1.0,Male,No
Ava,53.0,Sales,75750.0,10.0,Female,Yes
Aiko,52.0,Sales,55591.0,3.0,Female,Yes
Liam,56.0,IT,106762.0,12.0,Female,Yes
Kavya,42.0,IT,92529.0,9.0,Female,Yes
Riya,27.0,Marketing,44963.0,0.0,Male,No
Amit,25.0,Marketing,44622.0,0.0,Male,No
Marco,35.0,Marketing,54528.0,2.0,Female,No
Leo,48.0,Finance,75258.0,7.0,Female,Yes
Grace,47.0,Marketing,83878.0,12.0,Female,Yes
Maria,38.0,IT,57459.0,0.0,Male,No
Marco,56.0,IT,93695.0,11.0,Female,Yes
Nina,42.0,Finance,68500.0,3.0,Female,Yes
Sneha,22.0,HR,40518.0,0.0,Male,No
Nora,50.0,IT,92969.0,9.0,Male,Yes
John,,Finance,52030.0,0.0,Female,No
Olivia,47.0,Marketing,73250.0,7.0,Male,Yes
Anna,29.0,HR,49337.0,0.0,Male,No
Lucia,30.0,Sales,55181.0,2.0,Male,No
Mason,32.0,HR,57322.0,2.0,Female,No
Ava,33.0,Sales,67242.0,5.0,Male,Yes
Peter,41.0,Sales,56755.0,3.0,Female,No
Sam,54.0,IT,92594.0,9.0,Female,Yes
Michael,23.0,Finance,62667.0,2.0,Male,Yes
John,36.0,HR,54821.0,2.0,Female,Yes
Henry,39.0,IT,74084.0,4.0,Female,No
James,44.0,IT,79777.0,6.0,Female,Yes
John,22.0,Marketing,37601.0,,Male,No
Ahmed,52.0,Sales,73711.0,8.0,Male,Yes
Emma,47.0,HR,44184.0,2.0,Male,No
Aiko,56.0,Marketing,84752.0,11.0,Male,Yes
Amit,55.0,IT,79909.0,,Male,Yes
Mason,55.0,Finance,91177.0,8.0,Male,Yes
Michael,55.0,Sales,78308.0,9.0,Female,Yes
Elena,53.0,Finance,98522.0,12.0,Male,Yes
Laura,30.0,HR,39461.0,0.0,Female,No
William,24.0,IT,67623.0,0.0,Female,No
Nina,53.0,Marketing,87037.0,11.0,Male,Yes
Omar,34.0,Sales,,5.0,Female,Yes
Emma,51.0,HR,58136.0,5.0,Female,Yes
Lucia,37.0,Finance,63483.0,3.0,Male,Yes
Grace,48.0,HR,66924.0,5.0,Male,Yes
Benjamin,44.0,Marketing,71495.0,7.0,Female,Yes
Mason,44.0,Sales,70027.0,6.0,Female,Yes
Fatima,38.0,HR,51500.0,1.0,Male,No
Riya,32.0,Sales,52030.0,1.0,Female,No
James,34.0,IT,74913.0,3.0,Female,No
Michael,46.0,Sales,55061.0,1.0,Male,No
Layla,32.0,Marketing,55863.0,2.0,Female,Yes
Benjamin,49.0,Marketing,58654.0,4.0,Male,Yes
Mason,57.0,Marketing,72321.0,9.0,Female,Yes
Sara,42.0,Sales,61608.0,3.0,Female,Yes
Mia,31.0,HR,50485.0,2.0,Male,No
Amit,38.0,Marketing,62247.0,3.0,Male,No
Riya,37.0,Sales,60291.0,3.0,Female,Yes
Omar,27.0,IT,64813.0,1.0,Male,No
Isabella,37.0,Finance,75512.0,7.0,Female,Yes
Amit,50.0,IT,96177.0,10.0,Male,Yes
Nora,28.0,HR,56592.0,3.0,Male,Yes
Arjun,49.0,Finance,86597.0,,Female,Yes
Michael,55.0,IT,89797.0,8.0,Female,Yes
David,54.0,HR,80292.0,10.0,Male,Yes
Tom,39.0,Marketing,79817.0,8.0,Male,Yes
Rohan,22.0,Finance,60449.0,1.0,Female,No
Ethan,31.0,Sales,55640.0,3.0,Male,Yes
Ava,48.0,IT,88583.0,3.0,Male,No
Sam,24.0,IT,79367.0,3.0,Female,No
Priya,41.0,Finance,72948.0,5.0,Male,Yes
Aiko,22.0,IT,68623.0,1.0,Male,No
Rachel,42.0,Finance,85436.0,9.0,Male,Yes
Laura,40.0,Finance,64108.0,2.0,Male,No
Amit,45.0,Sales,66531.0,6.0,Male,Yes
Diego,27.0,HR,43851.0,1.0,Male,No
Ivan,43.0,Sales,73854.0,7.0,Female,Yes
Ken,57.0,Marketing,84801.0,11.0,Female,Yes
Peter,46.0,HR,65728.0,7.0,Female,Yes
Leo,50.0,HR,56678.0,6.0,Female,Yes
James,57.0,Sales,54728.0,4.0,Male,Yes
Priya,40.0,Sales,64748.0,5.0,Male,Yes
Emma,44.0,IT,89030.0,8.0,Female,Yes
Marco,32.0,IT,78305.0,5.0,Male,Yes
William,43.0,IT,90281.0,6.0,Female,Yes
Ella,50.0,IT,82552.0,5.0,Male,Yes
Liam,39.0,Sales,53810.0,4.0,Female,Yes
Layla,31.0,Sales,50733.0,1.0,Female,No
Sara,40.0,Finance,66159.0,2.0,Female,Yes
Olivia,57.0,IT,80021.0,2.0,Male,No
Aria,42.0,IT,71675.0,4.0,Female,Yes
William,22.0,IT,70697.0,0.0,Female,No
Laura,38.0,Finance,66001.0,3.0,Female,Yes
Priya,30.0,IT,76278.0,2.0,Male,Yes
Maria,44.0,HR,50707.0,3.0,Female,No
Aiko,54.0,Sales,89133.0,12.0,Female,Yes
Ahmed,46.0,IT,89185.0,9.0,Male,Yes
Riya,39.0,Sales,54501.0,2.0,Male,No
Ahmed,45.0,Marketing,65170.0,5.0,Male,Yes
Amit,41.0,IT,67783.0,1.0,Female,No
Alexander,46.0,IT,104459.0,11.0,Male,Yes
Carlos,43.0,Finance,69531.0,5.0,Male,Yes
Mason,53.0,Sales,61503.0,3.0,Female,Yes
Rohan,43.0,Finance,73180.0,6.0,Male,Yes
Grace,40.0,IT,95920.0,9.0,Male,Yes
Wei,50.0,Finance,63816.0,4.0,Male,Yes
Nora,24.0,IT,63801.0,,Male,No
Ahmed,46.0,Sales,78449.0,10.0,Male,Yes
Grace,50.0,IT,89497.0,8.0,Male,Yes
Maria,57.0,Sales,79618.0,9.0,Male,Yes
Emma,32.0,Sales,53806.0,1.0,Male,No
Ethan,49.0,Finance,54758.0,2.0,Female,Yes
Omar,53.0,Finance,90136.0,10.0,Male,Yes
Marco,43.0,Sales,68135.0,5.0,Female,Yes
Isabella,31.0,Finance,54568.0,1.0,Female,No
Alexander,39.0,Marketing,,5.0,Male,Yes
Aiko,34.0,Sales,53773.0,2.0,Male,Yes
Olivia,45.0,HR,59198.0,4.0,Female,No
Anna,27.0,IT,71906.0,0.0,Male,No
Maria,34.0,Sales,62245.0,3.0,Female,No
Mia,24.0,Marketing,46610.0,0.0,Male,No
Yuki,,IT,83139.0,4.0,Female,Yes
Tom,36.0,Finance,54487.0,0.0,Male,No
Mia,40.0,Finance,82070.0,8.0,Male,Yes
Liam,42.0,Marketing,67758.0,5.0,Female,Yes
Rachel,44.0,Marketing,66233.0,4.0,Male,Yes
Emma,22.0,IT,72948.0,0.0,Male,No
Anna,35.0,HR,47483.0,1.0,Female,No
Julia,41.0,Marketing,63604.0,5.0,Female,Yes
Sara,43.0,Sales,64136.0,4.0,Female,Yes
David,48.0,Sales,72870.0,8.0,Male,Yes
Marco,33.0,Sales,56892.0,3.0,Female,No
Layla,31.0,HR,52954.0,3.0,Female,No
Ava,50.0,IT,80180.0,4.0,Male,Yes
Zoe,,IT,81735.0,5.0,Female,Yes
Layla,56.0,HR,74672.0,9.0,Male,Yes
James,36.0,HR,47626.0,4.0,Male,Yes
Isabella,40.0,Sales,59335.0,3.0,Female,No
Mason,38.0,Sales,74530.0,8.0,Male,Yes
David,55.0,Marketing,89141.0,13.0,Female,Yes
Carlos,43.0,Sales,62342.0,4.0,Male,No
Benjamin,45.0,Finance,65768.0,3.0,Male,No
Omar,49.0,Sales,74165.0,8.0,Female,Yes
James,30.0,Finance,52497.0,1.0,Male,No
Elena,30.0,Sales,44987.0,1.0,Male,No
Isabella,54.0,Sales,74714.0,8.0,Male,Yes
Henry,44.0,Marketing,57339.0,4.0,Female,No
Sam,42.0,Marketing,82504.0,10.0,Female,Yes
William,56.0,HR,76990.0,9.0,Male,Yes
Layla,35.0,IT,66145.0,2.0,Male,Yes
Amit,45.0,Sales,56941.0,2.0,Female,No
Peter,55.0,Marketing,78079.0,11.0,Male,Yes
James,36.0,IT,71845.0,1.0,Female,No
Sara,44.0,Sales,72266.0,7.0,Male,Yes
Aiko,50.0,IT,103808.0,13.0,Female,Yes
Tom,52.0,HR,81614.0,10.0,Male,Yes
Julia,47.0,IT,84541.0,7.0,Female,Yes
Yuki,27.0,Sales,55346.0,0.0,Male,No
Liam,47.0,IT,85266.0,6.0,Male,Yes
Peter,56.0,HR,80739.0,9.0,Female,Yes
Omar,36.0,IT,63400.0,1.0,Male,No
Sophia,52.0,HR,58129.0,6.0,Female,Yes
Yuki,51.0,Sales,86173.0,12.0,Female,Yes
Ethan,31.0,Finance,64230.0,1.0,Male,No
Sneha,43.0,Sales,54648.0,5.0,Male,Yes
Diego,30.0,IT,62407.0,2.0,Female,Yes
Wei,46.0,Sales,61683.0,5.0,Male,Yes
Lucas,42.0,Sales,67533.0,6.0,Female,Yes
Yuki,47.0,Marketing,66431.0,6.0,Male,Yes
Ava,28.0,HR,47465.0,1.0,Male,No
Benjamin,38.0,IT,80509.0,4.0,Male,Yes
Elena,50.0,IT,84174.0,7.0,Female,Yes
Sneha,37.0,IT,79143.0,6.0,Male,Yes
Carlos,40.0,Finance,68314.0,4.0,Male,Yes
Omar,43.0,Sales,60020.0,3.0,Male,Yes
Henry,52.0,IT,96390.0,11.0,Female,Yes
Noah,23.0,Finance,54447.0,0.0,Female,No
Ahmed,32.0,Sales,60542.0,3.0,Female,Yes
Ella,49.0,Sales,68335.0,6.0,Female,Yes
Nina,48.0,Sales,63257.0,5.0,Female,Yes
Carlos,23.0,IT,62816.0,0.0,Male,No
Ken,35.0,IT,77467.0,3.0,Male,No
Zoe,45.0,IT,95328.0,8.0,Female,Yes
Fatima,24.0,IT,67307.0,1.0,Male,No
Grace,52.0,HR,74951.0,9.0,Female,Yes
Leo,35.0,HR,41334.0,0.0,Male,No
Anna,44.0,Sales,76817.0,10.0,Female,Yes
Yuki,41.0,Finance,75554.0,6.0,Male,Yes
Liam,48.0,HR,79578.0,9.0,Male,Yes
William,29.0,HR,58418.0,1.0,Female,No
Ethan,41.0,Sales,62320.0,4.0,Female,Yes
Ahmed,40.0,Sales,68323.0,7.0,Male,Yes
Isabella,47.0,Sales,95336.0,13.0,Female,Yes
Riya,47.0,Sales,53688.0,3.0,Female,No
Rohan,50.0,Marketing,59453.0,2.0,Female,Yes
Elena,44.0,IT,75327.0,3.0,Female,No
Fatima,48.0,IT,78123.0,4.0,Female,Yes
Nina,30.0,HR,41577.0,0.0,Female,No
Leo,48.0,Finance,76085.0,7.0,Male,Yes
Emma,51.0,HR,76594.0,10.0,Male,Yes
Zoe,52.0,Marketing,64442.0,5.0,Male,Yes
James,23.0,Finance,55526.0,0.0,Male,No
Zoe,54.0,Sales,54263.0,5.0,Male,Yes
Tom,37.0,Marketing,51763.0,,Female,No
Sneha,26.0,Finance,59029.0,2.0,Male,No
Leo,24.0,IT,62847.0,0.0,Male,No
Fatima,34.0,Marketing,52474.0,2.0,Male,No
David,29.0,Finance,68501.0,4.0,Male,No
Sara,22.0,IT,56740.0,0.0,Female,No
Isabella,46.0,HR,71311.0,7.0,Female,Yes
Leo,49.0,Finance,68241.0,4.0,Female,Yes
Layla,51.0,Finance,66494.0,4.0,Female,Yes
Peter,34.0,IT,78992.0,5.0,Male,Yes
Ahmed,43.0,IT,87417.0,8.0,Male,Yes
Maria,37.0,Sales,59527.0,2.0,Male,No
Anna,29.0,IT,83272.0,4.0,Male,Yes
Ahmed,44.0,Finance,68853.0,5.0,Male,Yes
Nina,41.0,Sales,56560.0,5.0,Female,Yes
Marco,49.0,Finance,54039.0,2.0,Female,No
Olivia,32.0,Finance,62331.0,2.0,Male,No
Elena,45.0,Finance,68697.0,4.0,Male,Yes
Alexander,40.0,Finance,66669.0,3.0,Female,No
Wei,46.0,Finance,68085.0,4.0,Female,No
Zoe,45.0,IT,93414.0,6.0,Female,Yes
Peter,23.0,Sales,44665.0,0.0,Male,No
Ava,24.0,HR,43893.0,0.0,Male,No
Omar,34.0,IT,82648.0,3.0,Female,Yes
Alexander,42.0,Marketing,70979.0,,Male,Yes
Riya,27.0,IT,62412.0,0.0,Male,No
William,,IT,90105.0,8.0,Male,Yes
Sam,46.0,Marketing,66597.0,7.0,Female,Yes
Layla,39.0,Marketing,66959.0,5.0,Female,Yes
Grace,47.0,HR,78861.0,9.0,Male,Yes
Julia,28.0,Sales,55755.0,2.0,Male,No
Kavya,57.0,Finance,87189.0,12.0,Female,Yes
James,36.0,Marketing,56038.0,3.0,Female,Yes
Maria,53.0,Finance,73633.0,6.0,Male,Yes
Arjun,46.0,HR,61711.0,6.0,Female,Yes
Nina,38.0,IT,75906.0,4.0,Female,Yes
Chloe,30.0,IT,65341.0,1.0,Female,No
Leo,54.0,Sales,78611.0,8.0,Male,Yes
Sam,38.0,Marketing,49350.0,1.0,Male,No
Noah,39.0,Marketing,59098.0,5.0,Male,Yes
Peter,33.0,Marketing,50662.0,1.0,Male,No
William,43.0,Finance,73174.0,7.0,Female,Yes
Alexander,46.0,Sales,60430.0,4.0,Male,No
Marco,37.0,IT,74479.0,1.0,Female,No
Ahmed,38.0,Sales,52045.0,3.0,Female,No
Chloe,28.0,Finance,63217.0,1.0,Female,No
Sneha,41.0,Sales,54882.0,3.0,Male,No
Nora,54.0,HR,64719.0,7.0,Male,Yes
Amit,,Finance,101641.0,14.0,Male,Yes
Lucia,33.0,Finance,70240.0,3.0,Female,Yes
Hana,28.0,IT,62114.0,0.0,Female,No
Kavya,32.0,HR,49255.0,2.0,Male,No
Ken,23.0,IT,62849.0,0.0,Male,No
Marco,51.0,IT,90842.0,9.0,Female,Yes
Leo,41.0,Finance,66233.0,3.0,Female,No
Elena,47.0,IT,95427.0,10.0,Female,Yes
Hana,28.0,IT,66767.0,1.0,Male,No
Mia,37.0,IT,81918.0,5.0,Male,Yes
Nora,41.0,IT,92749.0,9.0,Female,Yes
Maria,23.0,HR,40723.0,0.0,Female,No
Nadia,23.0,IT,71074.0,0.0,Female,No
Hana,35.0,Finance,65432.0,2.0,Female,No
Marco,28.0,Finance,63699.0,1.0,Male,No
Amit,26.0,Sales,48877.0,1.0,Male,No
Ava,42.0,Sales,67483.0,6.0,Female,Yes
Aiko,38.0,HR,63632.0,4.0,Female,No
Zoe,26.0,HR,41662.0,0.0,Male,No
Ivan,32.0,Finance,58950.0,3.0,Female,Yes
Laura,29.0,Sales,57413.0,2.0,Female,No
Nina,51.0,Marketing,72773.0,6.0,Female,Yes
Ivan,31.0,Sales,49829.0,,Male,No
Leo,39.0,HR,60901.0,3.0,Female,Yes
Lucia,47.0,Finance,86933.0,8.0,Male,Yes
Nina,39.0,IT,72269.0,2.0,Male,No
Sophia,47.0,Marketing,76094.0,8.0,Male,Yes
Nora,51.0,HR,,9.0,Male,Yes
Maria,30.0,IT,73833.0,4.0,Male,Yes
Noah,49.0,Sales,65747.0,6.0,Male,Yes
Sam,48.0,Sales,64350.0,7.0,Male,Yes
Riya,30.0,Finance,65268.0,3.0,Female,Yes
Lucas,25.0,Finance,57679.0,0.0,Male,No
Mia,36.0,Sales,47278.0,1.0,Female,No
Arjun,,HR,59622.0,4.0,Female,Yes
Ken,55.0,Sales,68580.0,7.0,Female,Yes
Leo,48.0,Marketing,65544.0,5.0,Male,Yes
Sophia,45.0,HR,76573.0,9.0,Female,Yes
Sara,51.0,Marketing,65200.0,6.0,Male,Yes
Julia,41.0,HR,62628.0,6.0,Female,Yes
William,28.0,HR,49566.0,0.0,Male,No
Mia,53.0,Finance,70311.0,6.0,Male,Yes
Rohan,42.0,HR,46796.0,1.0,Female,No
Fatima,40.0,Sales,49583.0,0.0,Male,No
Ahmed,,Finance,93896.0,13.0,Male,Yes
David,24.0,Sales,54760.0,0.0,Male,No
Fatima,41.0,IT,81187.0,4.0,Male,Yes
Sophia,40.0,Marketing,64026.0,3.0,Male,No
Liam,39.0,IT,78706.0,6.0,Male,Yes
Layla,35.0,IT,72644.0,2.0,Male,No
Benjamin,22.0,IT,64660.0,0.0,Male,No
Yuki,43.0,Sales,62101.0,5.0,Female,Yes
Zoe,53.0,Finance,84590.0,8.0,Female,Yes
Ava,56.0,Finance,79171.0,8.0,Male,Yes
Layla,46.0,IT,92572.0,6.0,Female,Yes
Benjamin,25.0,IT,63583.0,0.0,Male,No
Tom,55.0,HR,72226.0,7.0,Female,Yes
Sophia,25.0,HR,51397.0,1.0,Male,No
Michael,34.0,IT,76451.0,5.0,Female,Yes
Daniel,34.0,Marketing,52915.0,,Male,No
Leo,47.0,IT,91961.0,7.0,Female,Yes
Kavya,37.0,Finance,55522.0,0.0,Female,No
Nina,38.0,IT,75906.0,4.0,Female,Yes
David,57.0,HR,64912.0,7.0,Male,Yes
Riya,30.0,Finance,65268.0,3.0,Female,Yes
Riya,37.0,Sales,60291.0,3.0,Female,Yes
Leo,55.0,IT,87334.0,7.0,Female,Yes
Daniel,29.0,Finance,58313.0,0.0,Male,No
David,55.0,Marketing,90049.0,14.0,Female,Yes
Zoe,45.0,IT,93414.0,6.0,Female,Yes
Diego,27.0,HR,43851.0,1.0,Male,No
Zoe,46.0,IT,72005.0,3.0,Female,Yes
